"hi,hello,hey,goodmorning?","hello, how can I assisst you",,,,,,,"hello, how can I assisst you"
what is the total number of faculty in our/ECE department?,,,,,,,,
who is our/about our/ info of our HoD?,Dr.D.Krishna Reddy ...mail id:- dkrishnareddy_ece@cbit.ac.in.....highest qualification:- Doctor of philosophy in ECE...area of specialization:- Communications,,,,,,,
Can I get syllabus of 1st/2nd/3rd/4th year?,55,,,,,,,
can i get syllabus of 1/2/3/4/5/6/7/8 sem?,,,,,,,,
Or) who are the professors we have/ in our dept?,"Dr.N.V.Koteswara Roa, Dr.D.Krishna Reddy, Dr.P.Narahari Sastry, Dr. A.D.Sarma",,,,,,,
how many associate professors are there/do we have (or) who are the associate professors we have/ in our dept?,"Dr.N.Alivelu Manga, Dr.A.Supraja Reddy,Dr.A.Vani, Dr.M.L.N.Charyulu",,,,,,,
how many assisstant professors are there/do we have (or) who are the assisstant professors we have/ in our dept?,(check info that v have sent) ,,,,,,,
total number of non teaching staff OR Who are the non teachingstaff?,(check info that v have sent) ,,,,,,,
what is the timetable of 1-1/1-2/2-1/2-2/3-1/3-2/4-1/4-2 semester of E1/E2/E3?,,,,,,,,
Can i get Hod sir's mobile number and mail id?,mail id:- hod_ece@cbit.ac.in / dkrishnareddy_ece@cbit.ac.in,,,,,,,
can i get contact number and mail id of our faculty?,(check info that v have sent),,,,,,,
Number of labs in our dept/ECE?,12 (list of labs sent to u add them here),,,,,,,
ME/PG/ post graduation courses in our dept/ece?,There are 2 courses:- 1.Communication Engg  2.Embedded systems and VLSI Design,,,,,,,
can i get syllabus of ME comm engg / es and vlsid?,,,,,,,,
How to get more information about our/ece  dept?,Please visit our college website cbit.ac.in,,,,,,,
Bye?,Bye! Have a nice day,,,,,,,
It was nice talking to you?,same here,,,,,,,
you are dumb/not good/waste?,reciprocate the same,,,,,,,
